,Address,City,ZipCode,County,ChargingStations,ChargingRate,Longitude,Latitude
137,"95 Holger Way
",San Jose,95134,Santa Clara County,14,72,37.4181795,-121.9561986
138,330 South Winchester,San Jose,95128,Santa Clara County,26,72,37.3221786,-121.9492664
139,330 South Winchester Santana Row,San Jose,95128,Santa Clara County,10,72,37.3221764,-121.9493311
140,31971 Camino Capistrano,San Juan Capistrano,92675,Orange County,7,150,33.4983438,-117.6628729
141,100 Madonna Road,San Luis Obispo,93405,San Luis Obispo County,18,72,35.26677859999999,-120.6757085
142,1200 Park Place,San Mateo,94403,San Mateo County,8,150,37.54614,-122.2902433
143,1206 West Hillsdale Boulevard,San Mateo,94403,San Mateo County,12,250,37.533707,-122.3273303
144,2415-2505 San Ramon Valley Boulevard,San Ramon,94583,Contra Costa County,20,72,37.7747486,-121.9795256
145,2610 Bishop Drive,San Ramon,94583,Contra Costa County,10,150,37.7621464,-121.9641968
146,"300 East 5th Street
",Santa Ana,92701,Orange County,20,72,33.7486661,-117.865313
147,3945 Rivermark Plaza,Santa Clara,95054,Santa Clara County,16,72,37.394667,-121.9451212
148,24061 Newhall Ranch Road,Valencia,91355,Los Angeles County,32,250,34.4309261,-118.5562968
149,911 Soquel Avenue,Santa Cruz,95062,Santa Cruz County,16,250,36.978945,-122.014572
150,395 Santa Monica Place,Santa Monica,90401,Los Angeles County,10,72,34.0138617,-118.4939796
151,733 Coddingtown Center,Santa Rosa,95401,Sonoma County,20,250,38.4565496,-122.7278971
152,230 Mount Hermon Road,Scott's Valley,95066,Santa Cruz County,16,250,37.0482571,-122.026377
153,51 Tierra Rejada Road,Simi Valley,93065,Ventura County,12,250,34.2734901,-118.798316
154,250 Gateway Boulevard,South San Francisco,94080,San Mateo County,20,72,37.655462,-122.4009325
155,2323 Grand Canal Boulevard,Stockton,95207,San Joaquin County,12,250,37.9845542,-121.3357563
156,140 Lake Boulevard,Tahoe City,96145,Placer County,6,150,39.1678941,-120.1443872
157,5602 Dennis McCarthy Dr,Lebec,93243,Kern County,24,150,34.9866542,-118.9461324
158,40820 Winchester Rd.,Temecula,92591,Riverside County,10,72,33.5245692,-117.1546001
159,350 West Hillcrest Drive,Thousand Oaks,91360,Ventura County,20,72,34.1843078,-118.8881216
160,3490 Fashion Way,Torrance,90503,Los Angeles County,20,250,33.8350793,-118.3486847
161,36005 CA-99,Traver,93673,Tulare County,16,250,36.448379,-119.4860793
162,11209 Brockway Road,Truckee,96161,Nevada County,8,150,39.3220791,-120.1630768
163,11290 Donner Pass Rd,Truckee,96161,Nevada County,11,150,39.3272037,-120.2064298
164,250 W Clay St.,Ukiah,95482,Mendocino County,8,150,39.1481137,-123.2086933
165,321 Nut Tree Road,Vacaville,95687,Solano County,16,150,38.3668064,-121.9573643
166,904 Admiral Callaghan Lane,Vallejo,94591,Solano County,14,150,38.1316646,-122.2226661
167,1153 Locust Street,Walnut Creek,94596,Contra Costa County,24,150,37.8952909,-122.0613846
168,1415 Main Street,Watsonville,95076,Santa Cruz County,14,72,36.9150924,-121.7741494
169,21361 Gulf Freeway,Webster,77598,Harris County,12,120,29.5194931,-95.122483
170,1025 Westminster Mall,Westminster,92683,Orange County,24,72,33.74754900000001,-118.0116211
171,464 6th Street,Williams,95987,Colusa County,12,250,39.155555,-122.1489458
172,2185 Bronze Star Drive,Woodland,95776,Yolo County,8,250,38.6727067,-121.7248895
173,2185 Bronze Star Drive,Woodland,95776,Yolo County,8,250,38.6727067,-121.7248895
174,36017 Calico Road,Yermo,92398,San Bernardino County,18,150,34.9077184,-116.8358054
175,1475 Tharp Road,Yuba City,95993,Sutter County,10,150,39.1481393,-121.6469914
176,787 S. Alameda Street,Los Angeles,90021,Los Angeles County,16,72,34.0336749,-118.2410297
177,"17803 Venture Drive
",Hagerstown,21740,Washington County,8,250,39.608781,-77.75056699999999
178,3379 Crompond Road,Yorktown Heights,10589,Westchester County,12,150,41.2903334,-73.8305113
